07/30/17-02:03:49.359717 ,,"(portscan) UDP Filtered Portscan",8.8.8.8,,172.16.0.11,
07/30/17-02:36:03.128338 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:03.316292 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:03.502499 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:03.688501 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:36:03.874326 ,TCP,"HoneyPot SMB Port 445 Hit",1.173.56.137,63806,172.16.0.4,445
07/30/17-02:38:20.950687 ,TCP,"HoneyPot Telnet Port 23 Hit",118.46.106.54,51050,172.16.0.4,23
07/30/17-02:38:22.509731 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,9093,172.16.0.4,23
07/30/17-02:38:22.694033 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,9093,172.16.0.4,23
07/30/17-02:38:22.707167 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,37035,172.16.0.4,23
07/30/17-02:38:22.899788 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,37035,172.16.0.4,23
07/30/17-02:38:53.664482 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,37035,172.16.0.4,23
07/30/17-02:38:53.858383 ,TCP,"HoneyPot Telnet Port 23 Hit",213.14.189.103,37035,172.16.0.4,23
07/30/17-02:40:34.426252 ,TCP,"HoneyPot Telnet Port 23 Hit",78.150.60.55,1841,172.16.0.4,23
07/30/17-02:40:38.632966 ,TCP,"HoneyPot Telnet Port 23 Hit",78.150.60.55,59365,172.16.0.4,23
07/30/17-02:40:42.474268 ,TCP,"HoneyPot Telnet Port 23 Hit",78.150.60.55,59365,172.16.0.4,23
07/30/17-02:48:34.304021 ,TCP,"HoneyPot Telnet Port 23 Hit",78.230.136.47,55415,172.16.0.4,23
07/30/17-02:48:35.445412 ,TCP,"HoneyPot Telnet Port 23 Hit",78.230.136.47,55415,172.16.0.4,23
07/30/17-02:48:35.452426 ,TCP,"HoneyPot Telnet Port 23 Hit",78.230.136.47,44074,172.16.0.4,23
07/30/17-02:48:36.473923 ,TCP,"HoneyPot Telnet Port 23 Hit",78.230.136.47,44074,172.16.0.4,23
07/30/17-02:49:09.258550 ,TCP,"HoneyPot Telnet Port 23 Hit",78.230.136.47,44074,172.16.0.4,23
