06/23/17-22:26:39.486529 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52578,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x2CF63C55,0x95D3DD83,,0x0,128,0,25665,40,40960,,,,
06/23/17-22:26:40.638500 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52580,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xEF669AE3,0x12BFB26C,,0x0,128,0,25677,40,40960,,,,
06/23/17-22:26:47.022640 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52585,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x78EF9828,0xFF991AC8,,0x0,128,0,25712,40,40960,,,,
06/23/17-22:26:48.377912 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52588,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x38F7F941,0x86210355,,0x0,128,0,25736,40,40960,,,,
06/23/17-22:42:07.465106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-23:38:47.145106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-00:38:51.625104 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-01:44:23.785106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-02:44:28.265124 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-03:44:32.745105 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-04:44:37.225119 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-05:44:41.705107 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-06:44:46.185105 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-07:50:18.345100 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-08:44:55.145110 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-09:50:27.305107 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-10:50:31.785114 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-10:58:54.188066 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42126,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xD8864F22,0x68891C44,,0x0,128,0,27062,40,40960,,,,
06/24/17-10:58:54.242167 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42127,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xD9B66561,0xB4BD783A,,0x0,128,0,27074,40,40960,,,,
06/24/17-10:58:54.528832 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42132,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x9B5DE743,0xBE771CDF,,0x0,128,0,27106,40,40960,,,,
06/24/17-10:58:54.617137 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42133,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x6E26E692,0xBD0B75D3,,0x0,128,0,27120,40,40960,,,,
06/24/17-10:58:54.707424 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42134,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xA2A9AE14,0x176D35A5,,0x0,128,0,27134,40,40960,,,,
06/24/17-10:58:54.803430 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42135,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x61EF543A,0x5482CF29,,0x0,128,0,27148,40,40960,,,,
06/24/17-10:58:54.886198 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42136,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xDDD52F14,0x32F360CE,,0x0,128,0,27162,40,40960,,,,
06/24/17-10:58:54.971212 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42137,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x6637904E,0xB051144C,,0x0,128,0,27176,40,40960,,,,
06/24/17-10:58:55.067928 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42138,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xA9FFD2D4,0x5C80CE67,,0x0,128,0,27190,40,40960,,,,
06/24/17-10:58:55.161519 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42139,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x4D068304,0x6F447240,,0x0,128,0,27204,40,40960,,,,
06/24/17-10:58:55.256475 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42140,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xCC98750,0x86373378,,0x0,128,0,27218,40,40960,,,,
06/24/17-10:58:55.756107 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42141,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xBE545A99,0x8268E0B1,,0x0,128,0,27232,40,40960,,,,
06/24/17-10:58:55.839110 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42142,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x5C971E9D,0x7A7524DF,,0x0,128,0,27246,40,40960,,,,
06/24/17-10:58:55.915320 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,10.0.0.1,42143,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x121FC0FA,0x600C0C3B,,0x0,128,0,27261,40,40960,,,,
